KO_ID	KO_function	TARA_155_DCM	TARA_155_MES	TARA_155_SRF	TARA_158_DCM	TARA_158_MES	TARA_158_SRF	TARA_163_MES	TARA_163_SRF	TARA_168_DCM	TARA_168_SRF	TARA_173_DCM	TARA_173_SRF	TARA_175_SRF	TARA_178_SRF	TARA_180_DCM	TARA_180_SRF	TARA_188_DCM	TARA_188_SRF	TARA_189_DCM	TARA_189_MES	TARA_189_SRF	TARA_191_SRF	TARA_193_SRF	TARA_194_DCM	TARA_194_SRF	TARA_196_SRF	TARA_205_MES	TARA_205_SRF	TARA_210_MES	TARA_210_SRF
K00030	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	80.5159	92.4186	76.9306	3.991	15.535499999999999	10.3641	154.3961	40.6935	214.5802	0.0	270.0944	73.641	16.1453	16.0	518.3337	62.6548	82.9376	60.8771	5.7066	38.0109	9.1927	27.5658	19.4649	52.7522	54.3682	45.187400000000004	14.0569	44.050799999999995	48.8854	12.4291
K00031	isocitrate dehydrogenase [EC:1.1.1.42]	5116.6966	2726.352	6643.1626	3034.6649	2372.1602	4694.1463	3062.1597	4065.3467	2590.0192	1854.9818	3497.3523	4522.6324	4301.2528	3080.5722	3872.0961	7622.7696000000005	2542.2870000000003	4069.4959	2626.8762	2759.321	4126.5937	2104.1485000000002	3187.6779	5039.9517	3230.0628	2895.3152	3950.0124	5485.6959	3482.5942	5456.0542
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	2133.2109	671.3705	2458.2824	1279.2606	739.6851	2719.1902999999998	1218.019	4745.5121	2929.9813	2401.0814	3061.0801	3318.2581	2490.4115	3971.0316000000003	2655.9602	2870.3779	2377.0367	3621.1775000000002	2289.263	1081.0532	2805.5449	1187.8943	2390.7126	2425.4687	2879.4648	2306.6059	1148.923	4135.4356	1365.896	1371.621
K00034	glucose 1-dehydrogenase [EC:1.1.1.47]	0.0	0.0	0.0	0.0	5.3864	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00035	D-galactose 1-dehydrogenase [EC:1.1.1.48]	0.0	20.4209	0.0	0.0	29.625700000000002	10.9398	16.8553	27.1176	55.3669	0.0	82.65010000000001	115.3548	42.289	130.9139	251.5885	150.9522	42.2346	58.5184	8.9405	0.0	66.7227	41.031400000000005	96.1729	41.8083	27.0238	18.3258	0.0	29.1418	29.2055	14.8441
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	2216.5019	256.5887	2605.9882000000002	413.3657	274.9488	3234.2965	884.0254	4787.171	2675.7554	798.2668	3599.1665	4553.3608	4326.3935	3725.9381	3373.7164	4905.9429	2268.7094	3460.5018	2866.047	629.9896	2849.2802	1869.8834	3223.6113	3510.7102	3456.2538999999997	4085.449	1587.7976	5960.1546	606.45	970.4125
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	440.5349	1797.4212	142.2887	0.0	471.6145	0.0	899.6066	153.2472	63.6201	13.222000000000001	274.4784	172.7975	126.5886	260.6383	153.9768	592.3878	365.0248	425.6683	140.257	1120.5816	145.60410000000002	96.2602	216.67919999999998	254.9137	168.8593	249.2962	294.9943	127.7101	642.9647	751.1974
K00039	ribitol 2-dehydrogenase [EC:1.1.1.56]	8.3388	26.0218	59.362300000000005	53.3792	62.8642	702.2954	108.1768	55.7874	127.0732	81.5215	83.9094	134.0468	59.163799999999995	166.46280000000002	166.7967	85.3756	73.3443	43.400099999999995	26.0137	75.1606	45.5789	46.1012	64.7479	216.9709	168.8802	79.1344	206.5541	62.3084	38.757099999999994	80.9126
K00040	fructuronate reductase [EC:1.1.1.57]	54.5931	0.0	35.9069	0.0	46.1988	23.1888	80.67949999999999	34.3833	131.2567	27.0822	53.412499999999994	89.1091	49.3649	138.0247	177.4409	84.9527	12.6292	52.536500000000004	12.6325	40.8443	52.6257	32.6663	86.9274	99.0423	30.4396	83.5144	126.96839999999999	51.472	115.2742	88.2473
K00041	tagaturonate reductase [EC:1.1.1.58]	0.0	30.0192	10.103	202.2484	77.8203	698.2383	45.74529999999999	379.6988	377.8433	432.7391	164.1961	188.0053	750.5435	396.41740000000004	68.577	0.0	244.6447	369.26950000000005	131.3864	74.7663	218.0281	182.1179	209.133	180.2126	336.2319	132.3983	56.2802	162.1825	0.0	160.4524
K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	0.0	200.0072	0.0	0.0	80.6714	8.5299	148.5332	0.0	0.0	0.0	0.0	0.0	0.0	18.0	7.8678	99.856	23.3418	0.0	2.6917	241.08180000000002	0.0	18.9823	54.252	5.9204	190.7564	64.4471	85.68400000000001	12.0	267.86	29.5991
K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	515.4158	47.6381	361.88210000000004	0.0	139.3105	11.6941	431.768	42.384499999999996	135.881	36.9273	140.8808	115.7755	61.9215	170.2083	41.3485	321.5386	183.87329999999997	392.5138	96.23	123.8369	164.272	28.184800000000003	97.49969999999999	88.015	180.2387	163.7455	57.921	80.6937	195.75750000000002	304.52250000000004
K00045	mannitol 2-dehydrogenase [EC:1.1.1.67]	70.65559999999999	37.7782	68.59889999999999	140.5229	7.381	748.7572	144.1745	1310.938	1393.1242	648.8897000000001	983.3954	1145.9937	794.4965	1020.9586	818.8967	267.6338	488.1889	590.9684	174.3229	0.0	362.93870000000004	141.0944	404.055	462.6319	660.0712000000001	369.9783	207.2625	573.728	63.2023	174.6322
K00046	gluconate 5-dehydrogenase [EC:1.1.1.69]	224.9615	13.406500000000001	210.1021	90.62140000000001	106.8646	330.378	142.4924	304.7077	319.93919999999997	256.1774	277.8345	594.0897	374.9818	902.6859000000001	432.1042	1237.3186	329.2124	564.7472	275.2489	101.1206	634.9122	307.073	479.9907	276.1001	655.7446	694.5085	168.5408	751.8045	72.439	200.6559
K00051	malate dehydrogenase (NADP+) [EC:1.1.1.82]	129.0407	0.0	334.79650000000004	0.0	0.0	49.072399999999995	0.0	13.5218	15.7091	0.0	0.0	32.8766	18.6341	78.4523	0.0	19.9161	172.3222	182.8943	162.0267	0.0	58.0273	0.0	80.7352	46.6578	63.1433	91.8869	0.0	14.9845	0.0	28.69
K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	5411.2838	2349.3735	5358.612	2397.1334	1589.4866	5919.1766	2896.0034	6250.3724	3472.2873	4232.0718	4410.6177	4966.1288	5549.1791	5097.7515	5419.9204	7121.1149	4169.303	5226.6743	3144.3708	2030.0615	4252.2434	2518.2445	5755.8541	5742.9362	5238.3168	4479.378	3809.9253	7041.0548	3653.259	3421.761
K00053	ketol-acid reductoisomerase [EC:1.1.1.86]	5977.5728	3513.8246	6016.2645999999995	2459.8827	3784.8667	5106.2395	4695.0405	6242.0846	4191.1018	3353.5371999999998	5743.0928	5312.5644	7701.7209	5477.0032	5122.5882	8301.5181	4086.6769	5717.1172	3949.8927	4086.6719	6846.5402	2588.7154	3950.8242999999998	6104.0988	4611.7719	5112.198	3744.2119	8302.0957	4183.9502	4643.4921
K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	2040.7648	2152.0358	2940.7007000000003	1843.8202999999999	1179.7818	2784.6611000000003	991.0814	1378.2855	1736.3651	2588.7841	1903.3463000000002	2183.2768	3529.3347	2505.1173	1501.8124	2089.5948	2332.3107	2255.2618	1614.5763	1082.6193	2310.9645	1061.1073	1849.9153999999999	1769.214	2648.8423000000003	1611.6187	1678.2633	3504.782	1153.0815	1972.535
K00055	aryl-alcohol dehydrogenase [EC:1.1.1.90]	0.0	30.5005	0.0	13.7773	24.443	62.9837	83.9691	115.64160000000001	14.980599999999999	0.0	511.1055	350.72540000000004	278.3592	104.3553	828.0074	251.69740000000002	329.7018	403.1922	160.9888	170.7823	125.7969	139.3875	66.6469	200.236	31.047	169.4967	117.9449	344.8587	98.55709999999999	24.1051
K00057	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	5141.2798999999995	3674.6497	5936.27	2390.1258000000003	2902.5144	7627.0705	4774.0971	5862.0324	4852.4681	3331.1521	6114.6395	7070.9952	6265.3967999999995	5635.7145	5916.8895	6276.9364000000005	4627.2324	6355.4382	3927.0033	3558.9319	5242.7053	2832.7708000000002	5318.5907	6572.8129	6578.845	5611.3086	4322.0803	8785.181199999999	3874.3712	5331.3319
K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	4164.2539	3007.951	3950.7468	2720.5576	2186.2061	3768.8144	3968.7819	6228.7492	3805.676	2860.2342	4988.6392	4129.1266	3835.871	4124.9551	4468.8747	6302.9538999999995	3405.5894	5250.7238	2612.7344	3297.1689	3715.4407	2485.7039	4303.7087	4512.4485	4696.8401	4730.1889	3112.3071	7908.4793	3153.6468	3454.6413000000002
K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	8493.9122	10963.2177	10051.1559	3737.7315	7739.6789	8908.9826	13298.571	8539.2908	6524.4258	5969.8909	8481.607899999999	9565.0118	9146.6789	9050.1796	8679.6605	10482.1228	8826.3057	11387.7832	6746.8029	10969.5297	6682.1691	4403.1196	6038.669	9126.1093	9043.9001	6524.7572	7570.9856	12791.1471	8938.6193	6969.6763
K00060	threonine 3-dehydrogenase [EC:1.1.1.103]	741.8675	741.2594	641.869	889.9665	492.1004	742.5112	1154.3629	2044.0234	1381.2299	750.8370000000001	1668.0164	2097.1778999999997	1191.0752	1729.436	1310.5045	1360.7212	971.5849	931.7975	1111.7737	799.4351	1155.3400000000001	361.9157	782.9152	1135.4121	682.5639	1155.2862	1434.8052	1871.0139	563.0619	574.6933
K00064	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	503.5127	370.8635	872.1507	37.4578	321.448	614.7119	462.7364	319.8136	956.7268	275.1712	704.7228	1044.4388000000001	817.0484	763.7522	1022.8717	469.8675	643.9158	869.0903000000001	505.05969999999996	896.6674	508.413	198.90519999999998	512.3387	853.0026	685.877	568.3334	208.7984	520.7006	474.8322	450.32869999999997
K00065	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	14.621	42.1391	21.9005	0.0	14.3122	32.8936	75.8346	804.1004	122.9421	46.0478	22.5252	54.1726	39.4232	168.84040000000002	56.3617	11.1813	15.7442	34.9122	5.5282	21.2229	84.6853	13.4583	69.8134	22.2871	32.730199999999996	56.9204	19.1627	35.719300000000004	20.931	27.2487
K00066	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	0.0	62.0031	16.6988	0.0	0.0	12.1307	19.7192	0.0	36.7277	0.0	33.3561	64.3753	22.4746	9.2053	47.9719	105.17320000000001	29.4303	38.4732	20.183	69.1227	29.1655	28.4279	47.958400000000005	13.2317	26.81	32.9204	28.3035	33.806200000000004	20.4942	7.1055
K00067	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	884.6465999999999	467.3729	1112.4792	165.667	401.7384	787.9451	744.1061	1114.0666	1247.2516	1495.1181	785.0284	1159.7172	1176.1033	1023.4369	1292.5724	1617.311	670.3168000000001	1417.7059	654.3284	438.5591	1349.4229	790.9249	2004.5645	1744.1023	2146.1831	907.3998	688.3122	2439.0846	540.1121	432.552
K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	19.0	0.0	17.4367	0.0	14.923399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0523	7.4032	15.455	49.803399999999996	21.900199999999998
K00072	sepiapterin reductase [EC:1.1.1.153]	0.0	0.0	5.0236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.2497	9.8269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9267	0.0	0.0	10.9094	0.0	0.0	0.0	0.0
K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	1656.2204	1620.1779	2016.0727	1636.9347	1244.5527	2971.2235	1686.861	1555.9928	3055.8128	2084.9437	1532.9804000000001	2927.994	3775.4584	3342.4085	2525.2844	2867.246	1604.8776	2702.0488	1381.3076999999998	1633.3242	1761.3689	1504.6058	1735.1962	2491.681	2609.428	1920.8075	1712.4961	4070.082	1761.3127	1923.2835
K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	7368.6363	4858.7173	8769.812	3606.6843	3753.4272	7105.9053	6652.0522	5603.4516	5241.5472	7591.3265	6241.5858	7566.539	8253.781	5594.1243	7983.7124	9268.5794	6237.2369	7285.9184	4889.4188	4445.3513	6732.4367	3825.3599	5518.4285	9701.3178	7761.8651	5852.3085	5139.7208	9822.0875	5235.3811	7083.677
K00076	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	770.8096	260.38599999999997	845.9319	29.8009	156.3396	1063.1467	328.2398	308.05150000000003	399.4472	262.2247	720.0278000000001	666.5983	436.1991	879.7068	938.4646	687.1724	716.4354	919.367	252.7744	233.4929	400.0833	469.539	1097.4041	390.1442	542.1623	684.7774	469.7233	1039.9469000000001	488.15	823.0276
K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	4989.3418	4303.4653	3498.4224	1722.509	2165.5049	2713.9008	5113.1581	2568.6648	2726.5134	1755.3024	2830.988	3310.5168	3142.873	3019.9838	3152.924	3682.0208	3008.5609	4604.4215	3460.5663	3921.5755	3011.1677	1772.5957	1805.5142	4075.7732	4388.7238	3866.6432999999997	2683.2787	3157.1528	3570.3115	4007.4165
K00078	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	356.6481	512.81	293.1273	183.59650000000002	205.219	285.8917	532.1065	899.4435	1149.6749	585.1543	795.4319	492.7187	670.4719	180.938	1743.3116	1413.3975	487.1109	717.4112	201.4112	394.1617	767.1214	458.1209	488.8291	665.2905000000001	254.7087	426.328	655.8337	917.9605	371.5719	307.165
K00088	IMP dehydrogenase [EC:1.1.1.205]	4240.9545	3291.4756	5793.286	2956.7351	4200.1894999999995	5266.4315	4200.0099	4786.4746	3327.6657	3467.4595	3492.3204	4163.6148	5100.8372	4256.7323	6140.4738	6606.8216999999995	4008.8876	5636.3344	3333.5291	3067.4094	4783.3367	2530.2557	4225.1948	6079.3336	5366.658	3998.9044	5330.5387	8733.5726	3612.9648	4487.2964
K00090	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	0.0	0.0	0.0	0.0	7.4525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]	0.0	123.7611	0.0	4.9106	97.3457	0.0	123.344	4.239	51.150400000000005	22.4164	31.8711	22.4075	25.8859	23.2215	12.1526	134.76909999999998	17.6093	6.573	15.6067	109.31280000000001	0.0	45.0465	0.0	28.6118	4.1301	98.07220000000001	110.0671	42.506299999999996	259.9818	14.2105
K00096	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	193.56609999999998	1274.3827999999999	160.64499999999998	0.0	1378.7035	31.1663	1129.0923	47.1368	94.5071	20.0202	0.0	45.2645	8.585	14.6273	53.5995	0.0	6.2011	42.3953	2.9895	397.1726	31.8604	17.1069	18.403	10.2263	19.595100000000002	32.3213	1610.6094	7.5536	190.38309999999998	73.0694
K00097	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	1481.0795	557.4311	1096.2754	310.4232	324.5982	1973.9972	1104.9878	3165.734	976.8412999999999	500.7782	3231.9	2864.7605	2754.2821	2733.9216	2857.3503	1671.8515	1515.4305	2362.1178	1418.145	347.4439	1984.8002	635.1655	1757.0481	2858.3242	2275.4924	1252.6035	882.553	3539.2639	668.1135	1024.3366
K00098	L-idonate 5-dehydrogenase [EC:1.1.1.264]	83.8598	5.3517	57.906400000000005	66.1582	13.9675	239.73239999999998	64.4818	393.6796	329.2851	92.9166	322.7646	641.7065	538.3352	1015.1779	411.4025	810.6928	310.6816	587.4643	336.4069	40.5788	559.0409	266.7313	426.8994	305.0662	832.8352	525.5854	288.6076	807.857	121.4094	261.7855
